stamp_sec,cx,cy,w,h,cx_ref,cy_ref,D0,transformX,transformY,transformZ
1760585739.0,742.0,352.0,168.0,168.0,360.0,480.0,300.0,0.12199999999999989,-1.3119999999999998,-4.057
1760585779.0,356.0,224.0,164.0,164.0,360.0,480.0,300.0,0.8170000000000002,0.7489999999999997,-4.195
1760585821.0,544.5,447.5,145.0,145.0,360.0,480.0,300.0,-0.4580000000000002,-0.31800000000000006,-4.8149999999999995
1760585861.0,418.0,382.0,150.0,150.0,360.0,480.0,300.0,-0.04999999999999982,0.4429999999999996,-4.621
1760585902.0,284.0,501.0,142.0,142.0,360.0,480.0,300.0,-0.802,1.3010000000000002,-4.932
1760585943.0,283.5,447.5,169.0,169.0,360.0,480.0,300.0,-0.379,1.1109999999999998,-4.0329999999999995
1760585983.0,492.5,77.0,137.0,136.0,360.0,480.0,300.0,1.9180000000000001,-0.0040000000000000036,-5.158
1760586023.0,532.0,194.5,154.0,153.0,360.0,480.0,300.0,1.0430000000000001,-0.2250000000000001,-4.55
1760586064.0,827.4738159179688,648.98046875,138.0,138.0,360.0,480.0,300.0,-1.489,-1.823,-4.032
1760586104.0,119.5,337.5,137.0,137.0,360.0,480.0,300.0,0.22599999999999998,2.425,-5.206
1760586144.0,620.0,331.5,158.0,159.0,360.0,480.0,300.0,0.2400000000000002,-0.7090000000000001,-4.351
1760586184.0,407.5,315.5,163.0,163.0,360.0,480.0,300.0,0.32299999999999995,0.4710000000000001,-4.2219999999999995
1760586224.0,478.5,486.5,163.0,163.0,360.0,480.0,300.0,-0.6099999999999999,0.08499999999999996,-4.224
1760586263.0,411.5,320.0,133.0,134.0,360.0,480.0,300.0,0.347,0.532,-5.304
1760586305.0,391.5,347.0,145.0,146.0,360.0,480.0,300.0,0.1589999999999998,0.617,-4.789
1760586346.0,931.5,646.0,57.0,148.0,360.0,480.0,300.0,1.8019999999999996,-0.18299999999999983,-4.373
1760586384.0,816.5,598.0,155.0,154.0,360.0,480.0,300.0,-1.29,-1.862,-4.469
