stamp_sec,cx,cy,w,h,cx_ref,cy_ref,D0,transformX,transformY,transformZ
1760508365.0,263.5,292.0,145.0,144.0,360.0,480.0,300.0,0.4980000000000002,1.4100000000000001,-4.854
1760508402.0,713.0,326.0,172.0,172.0,360.0,480.0,300.0,0.2570000000000001,-1.133,-3.982
1760508444.0,285.5,446.0,135.0,136.0,360.0,480.0,300.0,-0.4849999999999999,1.3490000000000002,-5.197
1760508483.0,589.5,403.5,181.0,181.0,360.0,480.0,300.0,-0.133,-0.46099999999999985,-3.69
1760508519.0,512.0,344.0,174.0,174.0,360.0,480.0,300.0,0.1629999999999998,-0.08800000000000008,-3.9299999999999997
1760508560.0,817.0,350.0,190.0,190.0,360.0,480.0,300.0,0.12699999999999978,-1.5059999999999998,-3.5300000000000002
1760508595.0,380.5,229.5,161.0,161.0,360.0,480.0,300.0,0.7999999999999998,0.6269999999999998,-4.276
1760508635.0,469.5,294.5,153.0,153.0,360.0,480.0,300.0,0.45999999999999996,0.13999999999999968,-4.554
1760508672.0,494.0,631.6459350585938,198.0,198.0,360.0,480.0,300.0,-1.367,-0.4500000000000002,-3.518
1760508711.0,541.0,550.0,168.0,168.0,360.0,480.0,300.0,-0.9279999999999999,-0.2490000000000001,-4.061
1760508751.0,282.50006103515625,653.2518310546875,148.0,148.0,360.0,480.0,300.0,-1.625,0.9749999999999996,-4.3580000000000005
1760508791.0,820.0,183.5,144.0,145.0,360.0,480.0,300.0,1.1710000000000003,-2.025,-4.864
1760508830.0,866.9974365234375,133.5,208.0,208.0,360.0,480.0,300.0,0.24800000000000022,-2.349,-3.902
1760508870.0,336.5,289.5,155.0,155.0,360.0,480.0,300.0,0.4849999999999999,0.9009999999999998,-4.454
1760508907.0,226.0,121.0,134.0,134.0,360.0,480.0,300.0,1.6600000000000001,1.7569999999999997,-5.275
1760508943.0,543.5,377.5,185.0,185.0,360.0,480.0,300.0,-0.0030000000000001137,-0.2280000000000002,-3.6029999999999998
1760508982.0,53.5,6.64285683631897,16.0,15.999999523162842,360.0,480.0,300.0,1.5300000000000002,1.5300000000000002,-3.6639999999999997
1760509022.0,374.5,599.0,173.0,174.0,360.0,480.0,300.0,-1.146,0.617,-3.923
1760509062.0,862.0,259.0,186.0,186.0,360.0,480.0,300.0,0.5670000000000002,-1.7559999999999998,-3.6029999999999998
1760509104.0,352.5,412.0,189.0,188.0,360.0,480.0,300.0,-0.16500000000000004,0.6799999999999997,-3.5549999999999997
1760509149.0,684.5,586.0,137.0,138.0,360.0,480.0,300.0,-1.372,-1.241,-5.102
1760509185.0,178.5,156.5,141.0,141.0,360.0,480.0,300.0,1.3600000000000003,1.976,-5.011
1760509225.0,133.5,180.5,187.0,187.0,360.0,480.0,300.0,0.935,1.7300000000000004,-3.592
1760509262.0,576.5,73.0,139.0,138.0,360.0,480.0,300.0,1.9189999999999996,-0.5430000000000001,-5.088
1760509299.0,794.5,3.722222328186035,10.0,10.0,360.0,480.0,300.0,1.976,-2.122,-4.876
1760509338.0,139.5,522.5,149.0,149.0,360.0,480.0,300.0,-0.8929999999999998,2.1109999999999998,-4.662
1760509375.0,455.5,278.5,183.0,183.0,360.0,480.0,300.0,0.4790000000000001,0.19700000000000006,-3.698
1760509417.0,178.0,350.0,144.0,144.0,360.0,480.0,300.0,0.14100000000000001,1.9450000000000003,-4.9
1760509459.0,697.5,283.5,133.0,133.0,360.0,480.0,300.0,0.5899999999999999,-1.376,-5.329
1760509501.0,4.772727727890015,185.0,12.000000476837158,12.0,360.0,480.0,300.0,0.8540000000000001,2.4770000000000003,-3.622
1760509540.0,353.5,404.5,143.0,143.0,360.0,480.0,300.0,-0.19799999999999995,0.8630000000000004,-4.906
1760509580.0,615.0,558.5,140.0,139.0,360.0,480.0,300.0,-1.185,-0.7839999999999998,-5.036
1760509620.0,452.0,333.0,142.0,142.0,360.0,480.0,300.0,0.2509999999999999,0.2519999999999998,-4.933
1760509655.0,171.0,602.0,142.0,142.0,360.0,480.0,300.0,-1.435,2.0149999999999997,-4.979
1760509695.0,532.5,314.5,161.0,161.0,360.0,480.0,300.0,0.33499999999999996,-0.21399999999999997,-4.273
1760509735.0,703.0011596679688,644.4000854492188,148.0,148.0,360.0,480.0,300.0,-1.284,-0.9950000000000001,-3.605
1760509772.0,930.5,644.5,59.0,151.0,360.0,480.0,300.0,-1.569,2.309,-3.702
1760509808.0,404.5,542.5,153.0,153.0,360.0,480.0,300.0,-0.9809999999999999,0.516,-4.564
1760509842.0,845.0,510.0,152.0,152.0,360.0,480.0,300.0,-0.7989999999999999,-2.061,-4.57
1760509884.0,478.5,192.0,151.0,150.0,360.0,480.0,300.0,1.0759999999999996,0.08499999999999996,-4.654
